"","year","state","income","lfpr"
"200",1980,8,0,0.45
"201",1981,8,0,0.44
"202",1982,8,0,0.42
"203",1983,8,0,0.44
"204",1984,8,0,0.43
"205",1985,8,0,0.39
"206",1986,8,0,0.38
"207",1987,8,0,0.4
"208",1988,8,0,0.37
"209",1989,8,0,0.35
"210",1990,8,0,0.37
"211",1991,8,0,0.31
"212",1992,8,0,0.32
"213",1993,8,0,0.34
"214",1994,8,0,0.35
"215",1995,8,0,0.34
"216",1996,8,0,0.38
"217",1997,8,0,0.38
"218",1998,8,0,0.38
"219",1999,8,0,0.33
"220",2000,8,0,0.34
"221",2001,8,0,0.3
"222",2002,8,0,0.31
"223",2003,8,0,0.3
"224",2004,8,0,0.32
"225",2005,8,0,0.33
"226",2006,8,0,0.32
"227",2007,8,0,0.29
"228",2008,8,0,0.29
"229",2009,8,0,0.29
"230",2010,8,0,0.28
"231",2011,8,0,0.29
"232",2012,8,0,0.29
"233",2013,8,0,0.28
"234",2014,8,0,0.27
"235",2015,8,0,0.23
"236",1976,9,0,0.39
"237",1977,9,0,0.4
"238",1978,9,0,0.39
"239",1979,9,0,0.4
"240",1980,9,0,0.39
"241",1981,9,0,0.34
"242",1982,9,0,0.32
"243",1983,9,0,0.32
"244",1984,9,0,0.33
"245",1985,9,0,0.37
"246",1986,9,0,0.33
"247",1987,9,0,0.32
"248",1988,9,0,0.35
"249",1989,9,0,0.35
"250",1990,9,0,0.32
"251",1991,9,0,0.3
"252",1992,9,0,0.31
"253",1993,9,0,0.31
"254",1994,9,0,0.28
"255",1995,9,0,0.3
"256",1996,9,0,0.28
"257",1997,9,0,0.29
"258",1998,9,0,0.27
"259",1999,9,0,0.28
"260",2000,9,0,0.25
"261",2001,9,0,0.26
"262",2002,9,0,0.26
"263",2003,9,0,0.29
"264",2004,9,0,0.25
"265",2005,9,0,0.27
"266",2006,9,0,0.27
"267",2007,9,0,0.27
"268",2008,9,0,0.27
"269",2009,9,0,0.27
"270",2010,9,0,0.26
