"","year","state","income","lfpr"
"7762",2003,49,3,0.96
"7763",2004,49,3,1
"7764",2005,49,3,0.98
"7765",2006,49,3,0.99
"7766",2007,49,3,0.98
"7767",2008,49,3,0.96
"7768",2009,49,3,0.99
"7769",2010,49,3,0.97
"7770",2011,49,3,0.95
"7771",2012,49,3,0.98
"7772",2013,49,3,0.97
"7773",2014,49,3,0.97
"7774",2015,49,3,0.99
"7775",1977,50,3,0.75
"7776",1978,50,3,1
"7777",1979,50,3,1
"7778",1980,50,3,0.96
"7779",1981,50,3,1
"7780",1982,50,3,0.96
"7781",1983,50,3,1
"7782",1984,50,3,0.95
"7783",1985,50,3,0.98
"7784",1986,50,3,0.97
"7785",1987,50,3,0.97
"7786",1988,50,3,0.97
"7787",1989,50,3,1
"7788",1990,50,3,0.98
"7789",1991,50,3,0.97
"7790",1992,50,3,1
"7791",1993,50,3,0.98
"7792",1994,50,3,0.97
"7793",1995,50,3,0.98
"7794",1996,50,3,0.99
"7795",1997,50,3,0.97
"7796",1998,50,3,0.99
"7797",1999,50,3,1
"7798",2000,50,3,0.95
"7799",2001,50,3,0.97
"7800",2002,50,3,0.97
"7801",2003,50,3,0.99
"7802",2004,50,3,0.98
"7803",2005,50,3,0.99
"7804",2006,50,3,0.98
"7805",2007,50,3,0.98
"7806",2008,50,3,0.96
"7807",2009,50,3,0.99
"7808",2010,50,3,0.97
"7809",2011,50,3,0.98
"7810",2012,50,3,0.98
"7811",2013,50,3,0.96
"7812",2014,50,3,0.97
"7813",2015,50,3,0.95
"7814",1977,51,3,1
"7815",1978,51,3,0.96
"7816",1979,51,3,1
"7817",1980,51,3,0.97
"7818",1981,51,3,0.99
"7819",1982,51,3,0.98
"7820",1983,51,3,0.98
"7821",1984,51,3,0.99
"7822",1985,51,3,0.99
"7823",1986,51,3,0.99
"7824",1987,51,3,0.98
"7825",1988,51,3,0.99
"7826",1989,51,3,0.99
"7827",1990,51,3,0.98
"7828",1991,51,3,0.98
"7829",1992,51,3,0.99
"7830",1993,51,3,0.99
"7831",1994,51,3,0.97
"7832",1995,51,3,0.98
"7833",1996,51,3,0.97
"7834",1997,51,3,0.98
"7835",1998,51,3,0.99
"7836",1999,51,3,0.99
"7837",2000,51,3,0.97
"7838",2001,51,3,0.98
"7839",2002,51,3,0.96
"7840",2003,51,3,0.98
"7841",2004,51,3,0.95
"7842",2005,51,3,0.97
"7843",2006,51,3,0.99
"7844",2007,51,3,0.98
"7845",2008,51,3,0.96
"7846",2009,51,3,0.98
"7847",2010,51,3,0.99
"7848",2011,51,3,0.98
"7849",2012,51,3,0.96
"7850",2013,51,3,0.97
"7851",2014,51,3,0.98
"7852",2015,51,3,0.97
"7853",1977,53,3,0.94
"7854",1978,53,3,0.93
"7855",1979,53,3,0.97
"7856",1980,53,3,1
"7857",1981,53,3,1
"7858",1982,53,3,0.97
"7859",1983,53,3,0.98
"7860",1984,53,3,0.97
"7861",1985,53,3,0.99
"7862",1986,53,3,0.98
"7863",1987,53,3,0.95
"7864",1988,53,3,1
"7865",1989,53,3,0.98
"7866",1990,53,3,0.98
"7867",1991,53,3,0.98
"7868",1992,53,3,0.99
"7869",1993,53,3,0.98
"7870",1994,53,3,0.99
"7871",1995,53,3,0.98
"7872",1996,53,3,1
"7873",1997,53,3,1
"7874",1998,53,3,0.96
"7875",1999,53,3,0.96
"7876",2000,53,3,0.96
"7877",2001,53,3,0.98
"7878",2002,53,3,0.98
"7879",2003,53,3,0.97
"7880",2004,53,3,0.94
"7881",2005,53,3,0.96
"7882",2006,53,3,0.97
"7883",2007,53,3,0.98
"7884",2008,53,3,0.97
"7885",2009,53,3,0.96
"7886",2010,53,3,0.98
"7887",2011,53,3,0.98
"7888",2012,53,3,0.99
"7889",2013,53,3,0.98
"7890",2014,53,3,0.97
"7891",2015,53,3,0.96
"7892",1977,54,3,1
"7893",1978,54,3,1
"7894",1979,54,3,0.92
"7895",1980,54,3,0.98
"7896",1981,54,3,0.98
"7897",1982,54,3,1
"7898",1983,54,3,0.98
"7899",1984,54,3,0.99
"7900",1985,54,3,0.99
"7901",1986,54,3,0.96
"7902",1987,54,3,1
"7903",1988,54,3,0.99
"7904",1989,54,3,0.99
"7905",1990,54,3,0.97
"7906",1991,54,3,0.99
"7907",1992,54,3,0.98
"7908",1993,54,3,0.99
"7909",1994,54,3,1
"7910",1995,54,3,0.96
"7911",1996,54,3,0.96
"7912",1997,54,3,0.97
"7913",1998,54,3,0.98
"7914",1999,54,3,0.94
"7915",2000,54,3,1
"7916",2001,54,3,0.98
"7917",2002,54,3,0.97
"7918",2003,54,3,0.98
"7919",2004,54,3,0.96
"7920",2005,54,3,0.99
"7921",2006,54,3,0.97
"7922",2007,54,3,0.97
"7923",2008,54,3,0.97
"7924",2009,54,3,0.97
"7925",2010,54,3,0.98
"7926",2011,54,3,0.96
"7927",2012,54,3,0.97
"7928",2013,54,3,0.98
"7929",2014,54,3,1
"7930",2015,54,3,0.96
"7931",1977,55,3,1
"7932",1978,55,3,1
"7933",1979,55,3,1
"7934",1980,55,3,1
"7935",1981,55,3,0.99
"7936",1982,55,3,0.98
"7937",1983,55,3,0.97
"7938",1984,55,3,0.97
"7939",1985,55,3,0.97
"7940",1986,55,3,0.99
"7941",1987,55,3,0.99
"7942",1988,55,3,1
"7943",1989,55,3,0.99
"7944",1990,55,3,0.99
"7945",1991,55,3,0.99
"7946",1992,55,3,0.99
"7947",1993,55,3,0.99
"7948",1994,55,3,0.99
"7949",1995,55,3,0.99
"7950",1996,55,3,0.99
"7951",1997,55,3,0.99
"7952",1998,55,3,0.99
"7953",1999,55,3,0.99
"7954",2000,55,3,0.95
"7955",2001,55,3,0.98
"7956",2002,55,3,0.97
"7957",2003,55,3,0.98
"7958",2004,55,3,0.97
"7959",2005,55,3,0.98
"7960",2006,55,3,0.98
"7961",2007,55,3,0.97
"7962",2008,55,3,0.99
"7963",2009,55,3,0.97
"7964",2010,55,3,0.97
"7965",2011,55,3,0.98
"7966",2012,55,3,0.97
"7967",2013,55,3,0.96
"7968",2014,55,3,0.97
"7969",2015,55,3,0.97
"7970",1977,56,3,1
"7971",1978,56,3,0.96
"7972",1979,56,3,1
"7973",1980,56,3,0.97
"7974",1981,56,3,1
"7975",1982,56,3,0.99
"7976",1983,56,3,1
"7977",1984,56,3,0.97
"7978",1985,56,3,0.99
"7979",1986,56,3,0.99
"7980",1987,56,3,1
"7981",1988,56,3,0.99
"7982",1989,56,3,0.99
"7983",1990,56,3,1
"7984",1991,56,3,0.98
"7985",1992,56,3,0.99
"7986",1993,56,3,1
"7987",1994,56,3,0.97
"7988",1995,56,3,0.99
"7989",1996,56,3,1
"7990",1997,56,3,1
"7991",1998,56,3,0.97
"7992",1999,56,3,0.97
"7993",2000,56,3,0.99
"7994",2001,56,3,1
"7995",2002,56,3,0.97
"7996",2003,56,3,0.97
"7997",2004,56,3,0.97
"7998",2005,56,3,0.97
"7999",2006,56,3,0.95
"8000",2007,56,3,0.97
"8001",2008,56,3,0.99
"8002",2009,56,3,0.95
"8003",2010,56,3,0.97
"8004",2011,56,3,0.98
"8005",2012,56,3,0.96
"8006",2013,56,3,0.96
"8007",2014,56,3,0.97
"8008",2015,56,3,0.95
"8009",1977,1,4,1
"8010",1978,1,4,1
"8011",1979,1,4,0.88
"8012",1980,1,4,1
"8013",1981,1,4,1
"8014",1982,1,4,0.96
"8015",1983,1,4,1
"8016",1984,1,4,1
"8017",1985,1,4,0.97
"8018",1986,1,4,1
"8019",1987,1,4,1
"8020",1988,1,4,1
"8021",1989,1,4,1
"8022",1990,1,4,1
"8023",1991,1,4,0.99
"8024",1992,1,4,0.98
"8025",1993,1,4,0.96
"8026",1994,1,4,1
"8027",1995,1,4,0.98
"8028",1996,1,4,0.96
"8029",1997,1,4,0.98
"8030",1998,1,4,0.99
"8031",1999,1,4,0.98
"8032",2000,1,4,0.99
"8033",2001,1,4,0.99
"8034",2002,1,4,0.97
"8035",2003,1,4,0.99
"8036",2004,1,4,0.97
"8037",2005,1,4,0.99
"8038",2006,1,4,0.98
"8039",2007,1,4,0.99
"8040",2008,1,4,0.99
"8041",2009,1,4,0.99
"8042",2010,1,4,0.99
"8043",2011,1,4,0.98
"8044",2012,1,4,1
"8045",2013,1,4,0.98
"8046",2014,1,4,0.97
"8047",2015,1,4,0.98
"8048",1977,2,4,0.98
"8049",1978,2,4,0.98
"8050",1979,2,4,0.94
"8051",1980,2,4,0.97
"8052",1981,2,4,0.99
"8053",1982,2,4,0.97
"8054",1983,2,4,0.95
"8055",1984,2,4,0.97
"8056",1985,2,4,0.99
"8057",1986,2,4,0.96
"8058",1987,2,4,0.98
"8059",1988,2,4,0.98
"8060",1989,2,4,0.98
"8061",1990,2,4,0.93
"8062",1991,2,4,0.98
"8063",1992,2,4,0.99
"8064",1993,2,4,0.97
"8065",1994,2,4,0.98
"8066",1995,2,4,0.98
"8067",1996,2,4,0.94
"8068",1997,2,4,0.97
"8069",1998,2,4,0.97
"8070",1999,2,4,0.99
"8071",2000,2,4,0.98
"8072",2001,2,4,0.98
"8073",2002,2,4,0.97
"8074",2003,2,4,0.98
"8075",2004,2,4,0.96
"8076",2005,2,4,0.98
"8077",2006,2,4,0.97
"8078",2007,2,4,0.98
"8079",2008,2,4,0.95
"8080",2009,2,4,0.99
"8081",2010,2,4,0.97
"8082",2011,2,4,0.97
"8083",2012,2,4,0.96
"8084",2013,2,4,0.97
"8085",2014,2,4,0.95
"8086",2015,2,4,0.94
"8087",1977,4,4,1
"8088",1978,4,4,1
"8089",1979,4,4,1
"8090",1980,4,4,0.96
"8091",1981,4,4,1
"8092",1982,4,4,1
"8093",1983,4,4,0.93
"8094",1984,4,4,1
"8095",1985,4,4,0.98
"8096",1986,4,4,0.93
"8097",1987,4,4,0.98
"8098",1988,4,4,1
"8099",1989,4,4,0.99
"8100",1990,4,4,0.96
"8101",1991,4,4,0.97
"8102",1992,4,4,1
"8103",1993,4,4,0.99
"8104",1994,4,4,1
"8105",1995,4,4,0.99
"8106",1996,4,4,0.97
"8107",1997,4,4,0.99
"8108",1998,4,4,0.95
"8109",1999,4,4,0.98
"8110",2000,4,4,0.97
"8111",2001,4,4,0.97
"8112",2002,4,4,0.98
"8113",2003,4,4,0.98
"8114",2004,4,4,0.99
"8115",2005,4,4,0.97
"8116",2006,4,4,0.99
"8117",2007,4,4,0.99
"8118",2008,4,4,0.98
"8119",2009,4,4,0.99
"8120",2010,4,4,0.98
"8121",2011,4,4,0.97
"8122",2012,4,4,0.99
"8123",2013,4,4,0.99
"8124",2014,4,4,0.98
"8125",2015,4,4,0.97
"8126",1977,5,4,1
"8127",1978,5,4,1
"8128",1979,5,4,1
"8129",1980,5,4,1
"8130",1981,5,4,1
"8131",1982,5,4,1
"8132",1983,5,4,1
"8133",1984,5,4,1
"8134",1985,5,4,1
"8135",1986,5,4,0.92
"8136",1987,5,4,1
"8137",1988,5,4,0.92
"8138",1989,5,4,1
"8139",1990,5,4,0.98
"8140",1991,5,4,0.98
"8141",1992,5,4,1
"8142",1993,5,4,0.98
"8143",1994,5,4,1
"8144",1995,5,4,1
"8145",1996,5,4,0.99
"8146",1997,5,4,1
"8147",1998,5,4,1
"8148",1999,5,4,0.95
"8149",2000,5,4,0.99
"8150",2001,5,4,0.99
"8151",2002,5,4,0.98
"8152",2003,5,4,1
"8153",2004,5,4,0.98
"8154",2005,5,4,0.99
"8155",2006,5,4,0.99
"8156",2007,5,4,1
"8157",2008,5,4,0.97
"8158",2009,5,4,0.97
"8159",2010,5,4,0.99
"8160",2011,5,4,0.99
"8161",2012,5,4,0.98
"8162",2013,5,4,0.98
"8163",2014,5,4,0.99
"8164",2015,5,4,0.98
"8165",1976,6,4,1
"8166",1977,6,4,0.98
"8167",1978,6,4,0.98
"8168",1979,6,4,0.99
"8169",1980,6,4,0.99
"8170",1981,6,4,0.99
"8171",1982,6,4,1
"8172",1983,6,4,0.99
"8173",1984,6,4,0.99
"8174",1985,6,4,0.99
"8175",1986,6,4,0.99
"8176",1987,6,4,0.99
"8177",1988,6,4,0.99
"8178",1989,6,4,0.99
"8179",1990,6,4,0.98
"8180",1991,6,4,0.99
"8181",1992,6,4,0.98
"8182",1993,6,4,0.99
"8183",1994,6,4,0.98
"8184",1995,6,4,0.99
"8185",1996,6,4,0.98
"8186",1997,6,4,0.98
"8187",1998,6,4,1
"8188",1999,6,4,0.98
"8189",2000,6,4,0.98
"8190",2001,6,4,0.97
"8191",2002,6,4,0.98
"8192",2003,6,4,0.98
"8193",2004,6,4,0.97
"8194",2005,6,4,0.98
"8195",2006,6,4,0.98
"8196",2007,6,4,0.98
"8197",2008,6,4,0.98
"8198",2009,6,4,0.97
"8199",2010,6,4,0.98
"8200",2011,6,4,0.97
"8201",2012,6,4,0.98
"8202",2013,6,4,0.98
"8203",2014,6,4,0.97
"8204",2015,6,4,0.97
"8205",1977,8,4,1
"8206",1978,8,4,1
"8207",1979,8,4,1
"8208",1980,8,4,0.97
"8209",1981,8,4,1
"8210",1982,8,4,1
"8211",1983,8,4,0.98
"8212",1984,8,4,0.98
"8213",1985,8,4,1
"8214",1986,8,4,0.98
"8215",1987,8,4,0.94
"8216",1988,8,4,0.97
"8217",1989,8,4,0.99
"8218",1990,8,4,0.99
"8219",1991,8,4,0.96
"8220",1992,8,4,0.99
"8221",1993,8,4,0.98
"8222",1994,8,4,0.99
"8223",1995,8,4,0.96
"8224",1996,8,4,1
"8225",1997,8,4,0.98
"8226",1998,8,4,0.99
"8227",1999,8,4,0.99
"8228",2000,8,4,0.98
"8229",2001,8,4,0.97
"8230",2002,8,4,0.99
"8231",2003,8,4,0.99
"8232",2004,8,4,0.99
"8233",2005,8,4,0.97
"8234",2006,8,4,0.99
"8235",2007,8,4,0.98
"8236",2008,8,4,0.97
"8237",2009,8,4,0.99
"8238",2010,8,4,0.96
"8239",2011,8,4,0.98
"8240",2012,8,4,0.98
"8241",2013,8,4,0.98
"8242",2014,8,4,0.99
"8243",2015,8,4,0.97
"8244",1976,9,4,1
"8245",1977,9,4,1
"8246",1978,9,4,1
"8247",1979,9,4,1
"8248",1980,9,4,1
"8249",1981,9,4,0.94
"8250",1982,9,4,1
"8251",1983,9,4,0.93
"8252",1984,9,4,1
"8253",1985,9,4,1
"8254",1986,9,4,0.97
"8255",1987,9,4,0.99
"8256",1988,9,4,0.97
"8257",1989,9,4,1
"8258",1990,9,4,0.96
"8259",1991,9,4,1
"8260",1992,9,4,1
"8261",1993,9,4,0.99
"8262",1994,9,4,0.97
"8263",1995,9,4,0.99
"8264",1996,9,4,0.99
"8265",1997,9,4,1
"8266",1998,9,4,1
"8267",1999,9,4,0.97
"8268",2000,9,4,0.99
"8269",2001,9,4,0.99
"8270",2002,9,4,0.98
"8271",2003,9,4,0.99
"8272",2004,9,4,0.99
"8273",2005,9,4,0.96
"8274",2006,9,4,0.98
"8275",2007,9,4,0.99
"8276",2008,9,4,0.98
"8277",2009,9,4,0.97
"8278",2010,9,4,0.96
"8279",2011,9,4,0.98
"8280",2012,9,4,0.98
"8281",2013,9,4,0.98
"8282",2014,9,4,0.97
"8283",2015,9,4,0.96
"8284",1977,10,4,1
"8285",1978,10,4,1
"8286",1979,10,4,1
"8287",1980,10,4,1
"8288",1981,10,4,0.94
"8289",1982,10,4,1
"8290",1983,10,4,0.96
"8291",1984,10,4,1
"8292",1985,10,4,1
"8293",1986,10,4,0.98
"8294",1987,10,4,1
"8295",1988,10,4,0.99
"8296",1989,10,4,1
"8297",1990,10,4,0.99
"8298",1991,10,4,1
"8299",1992,10,4,0.99
"8300",1993,10,4,0.99
"8301",1994,10,4,0.99
"8302",1995,10,4,1
"8303",1996,10,4,1
"8304",1997,10,4,0.98
"8305",1998,10,4,0.96
"8306",1999,10,4,1
"8307",2000,10,4,0.99
"8308",2001,10,4,1
"8309",2002,10,4,0.98
"8310",2003,10,4,0.99
"8311",2004,10,4,0.98
"8312",2005,10,4,0.99
"8313",2006,10,4,0.98
"8314",2007,10,4,0.97
"8315",2008,10,4,0.98
"8316",2009,10,4,0.97
"8317",2010,10,4,0.98
"8318",2011,10,4,0.99
"8319",2012,10,4,0.99
"8320",2013,10,4,0.98
"8321",2014,10,4,0.99
"8322",2015,10,4,0.97
"8323",1976,11,4,1
"8324",1977,11,4,1
"8325",1978,11,4,0.86
"8326",1979,11,4,1
"8327",1980,11,4,1
"8328",1981,11,4,0.97
"8329",1982,11,4,1
"8330",1983,11,4,1
"8331",1984,11,4,1
"8332",1985,11,4,0.98
"8333",1986,11,4,0.96
"8334",1987,11,4,0.98
"8335",1988,11,4,0.99
"8336",1989,11,4,1
"8337",1990,11,4,0.99
"8338",1991,11,4,1
"8339",1992,11,4,0.99
"8340",1993,11,4,0.97
"8341",1994,11,4,0.95
"8342",1995,11,4,0.95
"8343",1996,11,4,0.97
"8344",1997,11,4,0.97
"8345",1998,11,4,1
"8346",1999,11,4,0.96
"8347",2000,11,4,1
"8348",2001,11,4,0.97
"8349",2002,11,4,0.97
"8350",2003,11,4,0.99
"8351",2004,11,4,0.96
"8352",2005,11,4,0.95
"8353",2006,11,4,0.95
"8354",2007,11,4,0.98
"8355",2008,11,4,0.97
"8356",2009,11,4,0.97
"8357",2010,11,4,1
"8358",2011,11,4,0.98
"8359",2012,11,4,0.97
"8360",2013,11,4,0.98
"8361",2014,11,4,0.95
"8362",2015,11,4,0.98
"8363",1976,12,4,1
"8364",1977,12,4,0.89
"8365",1978,12,4,0.93
"8366",1979,12,4,1
"8367",1980,12,4,1
"8368",1981,12,4,0.97
"8369",1982,12,4,0.98
"8370",1983,12,4,1
"8371",1984,12,4,0.99
"8372",1985,12,4,0.97
"8373",1986,12,4,0.98
"8374",1987,12,4,0.99
"8375",1988,12,4,0.98
"8376",1989,12,4,0.99
"8377",1990,12,4,0.99
"8378",1991,12,4,1
"8379",1992,12,4,0.99
"8380",1993,12,4,0.95
"8381",1994,12,4,0.97
"8382",1995,12,4,0.97
"8383",1996,12,4,1
"8384",1997,12,4,0.99
"8385",1998,12,4,0.98
"8386",1999,12,4,0.97
"8387",2000,12,4,0.98
"8388",2001,12,4,0.98
"8389",2002,12,4,0.98
"8390",2003,12,4,0.98
"8391",2004,12,4,0.98
"8392",2005,12,4,0.99
"8393",2006,12,4,0.98
"8394",2007,12,4,0.98
"8395",2008,12,4,0.98
"8396",2009,12,4,0.99
"8397",2010,12,4,0.98
"8398",2011,12,4,0.98
"8399",2012,12,4,0.98
"8400",2013,12,4,0.98
"8401",2014,12,4,0.98
"8402",2015,12,4,0.96
"8403",1977,13,4,1
"8404",1978,13,4,1
"8405",1979,13,4,1
"8406",1980,13,4,1
"8407",1981,13,4,1
"8408",1982,13,4,1
"8409",1983,13,4,1
"8410",1984,13,4,0.95
"8411",1985,13,4,0.98
"8412",1986,13,4,0.98
"8413",1987,13,4,1
"8414",1988,13,4,0.98
"8415",1989,13,4,0.99
"8416",1990,13,4,0.97
"8417",1991,13,4,1
"8418",1992,13,4,1
"8419",1993,13,4,0.97
"8420",1994,13,4,1
"8421",1995,13,4,0.99
"8422",1996,13,4,1
"8423",1997,13,4,0.99
"8424",1998,13,4,1
"8425",1999,13,4,0.98
"8426",2000,13,4,0.97
"8427",2001,13,4,0.98
"8428",2002,13,4,0.99
"8429",2003,13,4,0.98
"8430",2004,13,4,0.99
"8431",2005,13,4,0.99
"8432",2006,13,4,0.97
"8433",2007,13,4,0.98
"8434",2008,13,4,0.99
"8435",2009,13,4,0.98
"8436",2010,13,4,0.99
"8437",2011,13,4,0.98
"8438",2012,13,4,0.97
"8439",2013,13,4,0.97
"8440",2014,13,4,0.99
"8441",2015,13,4,0.97
"8442",1977,15,4,1
"8443",1978,15,4,1
"8444",1979,15,4,1
"8445",1980,15,4,1
"8446",1981,15,4,1
"8447",1982,15,4,1
"8448",1983,15,4,1
"8449",1984,15,4,0.94
"8450",1985,15,4,0.98
"8451",1986,15,4,1
"8452",1987,15,4,0.98
"8453",1988,15,4,1
"8454",1989,15,4,0.96
"8455",1990,15,4,0.97
"8456",1991,15,4,1
"8457",1992,15,4,0.97
"8458",1993,15,4,0.97
"8459",1994,15,4,0.98
"8460",1995,15,4,0.97
"8461",1996,15,4,0.99
"8462",1997,15,4,0.99
"8463",1998,15,4,0.97
"8464",1999,15,4,1
"8465",2000,15,4,1
"8466",2001,15,4,0.98
"8467",2002,15,4,0.99
"8468",2003,15,4,0.96
"8469",2004,15,4,0.99
"8470",2005,15,4,0.98
"8471",2006,15,4,0.99
"8472",2007,15,4,1
"8473",2008,15,4,0.98
"8474",2009,15,4,0.98
"8475",2010,15,4,0.99
"8476",2011,15,4,0.98
"8477",2012,15,4,0.97
"8478",2013,15,4,0.98
"8479",2014,15,4,0.98
"8480",2015,15,4,0.98
"8481",1977,16,4,1
"8482",1978,16,4,1
"8483",1979,16,4,1
"8484",1980,16,4,0.92
"8485",1981,16,4,1
"8486",1982,16,4,1
"8487",1983,16,4,0.9
"8488",1984,16,4,0.96
"8489",1985,16,4,1
"8490",1986,16,4,0.97
"8491",1987,16,4,1
"8492",1988,16,4,0.98
"8493",1989,16,4,1
"8494",1990,16,4,0.98
"8495",1991,16,4,1
"8496",1992,16,4,0.96
"8497",1993,16,4,1
"8498",1994,16,4,0.98
"8499",1995,16,4,0.97
"8500",1996,16,4,0.98
"8501",1997,16,4,0.99
"8502",1998,16,4,1
"8503",1999,16,4,0.96
"8504",2000,16,4,0.99
"8505",2001,16,4,0.97
"8506",2002,16,4,0.98
"8507",2003,16,4,0.99
"8508",2004,16,4,0.98
"8509",2005,16,4,0.99
"8510",2006,16,4,0.97
"8511",2007,16,4,0.99
"8512",2008,16,4,0.97
"8513",2009,16,4,1
"8514",2010,16,4,0.98
"8515",2011,16,4,0.99
"8516",2012,16,4,0.99
"8517",2013,16,4,0.96
"8518",2014,16,4,0.99
"8519",2015,16,4,0.97
"8520",1976,17,4,1
"8521",1977,17,4,0.96
"8522",1978,17,4,1
"8523",1979,17,4,0.98
"8524",1980,17,4,1
"8525",1981,17,4,1
"8526",1982,17,4,1
"8527",1983,17,4,0.97
"8528",1984,17,4,0.97
"8529",1985,17,4,0.98
"8530",1986,17,4,0.99
"8531",1987,17,4,0.99
"8532",1988,17,4,0.99
"8533",1989,17,4,1
"8534",1990,17,4,0.99
"8535",1991,17,4,0.98
"8536",1992,17,4,0.99
"8537",1993,17,4,0.99
"8538",1994,17,4,1
"8539",1995,17,4,0.99
"8540",1996,17,4,0.98
"8541",1997,17,4,0.98
"8542",1998,17,4,0.99
"8543",1999,17,4,0.98
"8544",2000,17,4,0.97
"8545",2001,17,4,0.97
"8546",2002,17,4,0.98
"8547",2003,17,4,0.98
"8548",2004,17,4,0.99
"8549",2005,17,4,0.98
"8550",2006,17,4,0.98
"8551",2007,17,4,0.99
"8552",2008,17,4,0.99
"8553",2009,17,4,0.98
"8554",2010,17,4,0.99
"8555",2011,17,4,0.99
"8556",2012,17,4,0.99
"8557",2013,17,4,0.98
"8558",2014,17,4,0.98
"8559",2015,17,4,0.98
"8560",1976,18,4,1
"8561",1977,18,4,0.86
"8562",1978,18,4,1
"8563",1979,18,4,1
"8564",1980,18,4,1
"8565",1981,18,4,1
"8566",1982,18,4,0.97
"8567",1983,18,4,1
"8568",1984,18,4,0.98
"8569",1985,18,4,1
"8570",1986,18,4,1
"8571",1987,18,4,1
"8572",1988,18,4,0.99
"8573",1989,18,4,1
"8574",1990,18,4,0.97
"8575",1991,18,4,0.97
"8576",1992,18,4,0.96
"8577",1993,18,4,0.99
"8578",1994,18,4,0.97
"8579",1995,18,4,0.99
"8580",1996,18,4,0.99
"8581",1997,18,4,0.98
"8582",1998,18,4,0.98
"8583",1999,18,4,0.98
"8584",2000,18,4,0.99
"8585",2001,18,4,0.96
"8586",2002,18,4,0.98
"8587",2003,18,4,0.98
"8588",2004,18,4,1
"8589",2005,18,4,0.97
"8590",2006,18,4,0.99
"8591",2007,18,4,0.98
"8592",2008,18,4,0.99
"8593",2009,18,4,0.99
"8594",2010,18,4,0.98
"8595",2011,18,4,0.98
"8596",2012,18,4,0.98
"8597",2013,18,4,0.97
"8598",2014,18,4,0.98
"8599",2015,18,4,0.98
"8600",1977,19,4,1
"8601",1978,19,4,1
"8602",1979,19,4,1
"8603",1980,19,4,1
"8604",1981,19,4,1
"8605",1982,19,4,1
"8606",1983,19,4,0.96
"8607",1984,19,4,1
"8608",1985,19,4,1
"8609",1986,19,4,0.96
"8610",1987,19,4,0.98
"8611",1988,19,4,0.98
"8612",1989,19,4,1
"8613",1990,19,4,0.98
"8614",1991,19,4,1
"8615",1992,19,4,0.99
"8616",1993,19,4,1
"8617",1994,19,4,1
"8618",1995,19,4,1
"8619",1996,19,4,0.99
"8620",1997,19,4,1
"8621",1998,19,4,1
"8622",1999,19,4,1
"8623",2000,19,4,0.98
"8624",2001,19,4,1
"8625",2002,19,4,0.98
"8626",2003,19,4,0.99
"8627",2004,19,4,0.98
"8628",2005,19,4,0.98
"8629",2006,19,4,0.99
"8630",2007,19,4,0.99
"8631",2008,19,4,0.98
"8632",2009,19,4,0.99
"8633",2010,19,4,0.99
"8634",2011,19,4,0.99
"8635",2012,19,4,0.99
"8636",2013,19,4,0.98
"8637",2014,19,4,1
"8638",2015,19,4,0.97
"8639",1977,20,4,1
"8640",1978,20,4,1
"8641",1979,20,4,1
"8642",1980,20,4,1
"8643",1981,20,4,0.93
"8644",1982,20,4,1
"8645",1983,20,4,1
"8646",1984,20,4,1
"8647",1985,20,4,1
"8648",1986,20,4,1
"8649",1987,20,4,0.96
"8650",1988,20,4,0.98
"8651",1989,20,4,0.98
"8652",1990,20,4,1
"8653",1991,20,4,0.98
"8654",1992,20,4,1
"8655",1993,20,4,0.98
"8656",1994,20,4,0.98
"8657",1995,20,4,1
"8658",1996,20,4,0.99
"8659",1997,20,4,0.99
"8660",1998,20,4,0.99
"8661",1999,20,4,1
"8662",2000,20,4,1
"8663",2001,20,4,0.98
"8664",2002,20,4,0.99
"8665",2003,20,4,0.98
"8666",2004,20,4,0.98
"8667",2005,20,4,1
"8668",2006,20,4,0.97
"8669",2007,20,4,0.98
"8670",2008,20,4,0.99
"8671",2009,20,4,0.99
"8672",2010,20,4,0.98
"8673",2011,20,4,0.97
"8674",2012,20,4,1
"8675",2013,20,4,0.99
"8676",2014,20,4,0.98
"8677",2015,20,4,0.98
"8678",1977,21,4,1
"8679",1978,21,4,1
"8680",1979,21,4,1
"8681",1980,21,4,1
"8682",1981,21,4,0.96
"8683",1982,21,4,1
"8684",1983,21,4,1
"8685",1984,21,4,0.97
"8686",1985,21,4,0.97
"8687",1986,21,4,0.96
"8688",1987,21,4,0.97
"8689",1988,21,4,0.96
"8690",1989,21,4,1
"8691",1990,21,4,0.96
"8692",1991,21,4,1
"8693",1992,21,4,0.99
"8694",1993,21,4,1
"8695",1994,21,4,0.99
"8696",1995,21,4,0.99
"8697",1996,21,4,0.99
"8698",1997,21,4,0.98
"8699",1998,21,4,0.98
"8700",1999,21,4,0.99
"8701",2000,21,4,0.98
"8702",2001,21,4,0.98
"8703",2002,21,4,0.99
"8704",2003,21,4,0.98
"8705",2004,21,4,1
"8706",2005,21,4,0.98
"8707",2006,21,4,0.98
"8708",2007,21,4,0.98
"8709",2008,21,4,0.98
"8710",2009,21,4,0.96
"8711",2010,21,4,0.98
"8712",2011,21,4,0.99
"8713",2012,21,4,0.99
"8714",2013,21,4,0.99
"8715",2014,21,4,0.99
"8716",2015,21,4,0.98
"8717",1977,22,4,1
"8718",1978,22,4,1
"8719",1979,22,4,0.93
"8720",1980,22,4,0.93
"8721",1981,22,4,1
"8722",1982,22,4,0.94
"8723",1983,22,4,1
"8724",1984,22,4,1
"8725",1985,22,4,0.98
